case,cvc,pcvc
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond35.smt2,13,25
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond89.smt2,24,48
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond98.smt2,29,44
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond75.smt2,20,43
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond76.smt2,20,47
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond81.smt2,25,77
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond92.smt2,25,54
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond22.smt2,10,20
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond87.smt2,24,50
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond85.smt2,27,47
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond26.smt2,11,18
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond6.smt2,6,15
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond27.smt2,19,21
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond44.smt2,14,36
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond66.smt2,19,39
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ019_size7.smt2,600000,600000
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ014_size11.smt2,600000,600000
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ003_size7.smt2,8711,9881
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ014_size10.smt2,600000,421793
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ004_size7.smt2,754,1156
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ011_size6.smt2,42132,56724
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ004_size9.smt2,29868,9132
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ002_size7.smt2,600000,600000
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ010_size6.smt2,2556,3299
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ003_size9.smt2,529135,516603
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ016_size7.smt2,600000,600000
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ014_size9.smt2,30994,37439
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ020_size6.smt2,407148,600000
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ020_size5.smt2,849,1047
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ018_size5.smt2,9649,5292
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ010_size5.smt2,176,203
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ013_size7.smt2,153221,186113
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ018_size4.smt2,974,675
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ002_size6.smt2,444759,478041
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ018_size6.smt2,159747,48398
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ019_size5.smt2,2632,3628
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ010_size8.smt2,59239,101266
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ002_size8.smt2,600000,600000
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ012_size5.smt2,559072,129294
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ018_size7.smt2,600000,384539
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ019_size4.smt2,314,333
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ003_size8.smt2,57129,85149
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ004_size8.smt2,206280,411963
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ016_size4.smt2,9701,11280
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ011_size5.smt2,1915,2291
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ016_size5.smt2,224101,315755
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ012_size6.smt2,600000,600000
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ002_size5.smt2,11456,11410
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ012_size3.smt2,439,511
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ011_size7.smt2,343786,475540
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ014_size8.smt2,3843,3716
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ013_size8.smt2,600000,600000
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ013_size6.smt2,28354,34852
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ019_size6.smt2,108998,108829
/home/cxcfan/dev/testbench/smt/bm/QF_UF/PEQ/PEQ020_size7.smt2,600000,600000
