case,equality,constant,z3,pz3,ratio
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_127.smt2,0.966611018,0.003423777,8800,7276,0.302
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_128.smt2,0.958263773,0.002328711,1500,6578,0.057
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_129.smt2,0.335002782,0.019805709,4840,4803,0.252
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_130.smt2,0.395102949,0.114874584,6423,1304,1.231
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_131.smt2,0.118530885,0.001097652,878,2824,0.078
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_132.smt2,0.286032276,0.000563409,1323,4325,0.076
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_133.smt2,0.235392321,0.000738392,1340,2652,0.126
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_134.smt2,0.102392877,0.002243528,701,2565,0.068
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_135.smt2,0.245965498,0.002096503,720,3529,0.051
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_136.smt2,0.579298831,0.000768889,2447,5418,0.113
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_137.smt2,0.153032832,0.189860597,2811,1628,0.432
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_138.smt2,0.656649972,0.048724691,5457,2538,0.538
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_139.smt2,0.695047301,0.001775776,1662,2894,0.144
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_140.smt2,0.301057318,0.02627862,4829,3105,0.389
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_141.smt2,0.002225932,0.137882129,404,102,0.99
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_142.smt2,0.256538676,0.023609876,4051,4303,0.235
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_143.smt2,0.103505843,0.000608206,918,9296,0.025
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_144.smt2,0.267668336,0.004585368,7250,8721,0.208
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_145.smt2,0.228158041,0.008533418,600000,62030,5
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_146.smt2,0.143572621,0.050522358,535,2701,0.05
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_147.smt2,0.825264329,0.044683147,3810,2251,0.423
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_148.smt2,0.903728436,0.013555684,6940,6758,0.257
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_149.smt2,0.809126322,0.03799084,4356,1968,0.553
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_150.smt2,0.30328325,0.000622491,588,4671,0.031
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_151.smt2,0.752365053,0.045663969,5458,1943,0.702
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_152.smt2,0.810239288,0.018025489,7286,2147,0.848
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_153.smt2,0.83082916,0.002613208,3043,1454,0.523
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_154.smt2,0.747356706,0.166372359,2344,1392,0.421
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_155.smt2,0.294936004,0.007168168,4006,5764,0.174
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_156.smt2,0.596549805,0.002744844,2251,4740,0.119
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_157.smt2,0.995548136,0.001435602,1309,2674,0.122
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_158.smt2,0.427935448,0.012396106,5721,3990,0.358
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_159.smt2,0.890372844,0.062652396,10686,1763,1.515
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_160.smt2,0.869226489,0.059481897,10527,1784,1.475
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_161.smt2,0.468002226,0.001199624,4102,6267,0.164
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_162.smt2,0.861435726,0.000641018,3154,4222,0.187
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_163.smt2,0.461880913,0.41182516,5079,1364,0.931
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_164.smt2,0.615470228,0.369690614,2935,1513,0.485
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_165.smt2,0.553144129,0.033293346,5676,3576,0.397
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_166.smt2,0.391207568,0.000680917,490,853,0.144
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_167.smt2,0.883138564,0.097956524,2351,1510,0.389
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_168.smt2,0.37506956,0.000659583,1079,4172,0.065
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_169.smt2,0.920422927,0.001039843,1855,3988,0.116
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_170.smt2,0.175848637,0.0192168,2466,1128,0.547
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_171.smt2,0.329994435,0.001214883,1146,4713,0.061
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_172.smt2,0.258208125,0.417940272,3336,1314,0.635
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_173.smt2,0.603227602,0.028353241,5559,2486,0.559
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_174.smt2,0.093489149,0.061692719,523,840,0.156
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_175.smt2,0.283249861,0.003189066,5814,20152,0.072
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_176.smt2,0.513633834,0.265857054,7231,1248,1.449
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_177.smt2,0.367835281,0.058856688,13997,4795,0.73
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_178.smt2,0.33277685,0.158210324,3903,1540,0.634
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_179.smt2,0.754034502,0.269862777,1685,1416,0.297
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_180.smt2,0.602671119,0.020266599,5438,2507,0.542
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_181.smt2,0.194212577,0.02353906,2362,4280,0.138
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_182.smt2,0.81246522,0.079535532,5557,2062,0.674
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_183.smt2,0.157484697,0.273475235,2485,2309,0.269
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_184.smt2,0.70951586,0.010792008,5371,5720,0.235
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_185.smt2,0.47245409,0.002000873,945,5032,0.047
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_186.smt2,0.421257652,0.045233869,5850,2398,0.61
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_187.smt2,0.050083472,0.001102114,223,293,0.19
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_188.smt2,0.884808013,0.303447931,9101,1522,1.495
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_189.smt2,0.003338898,0.002497238,183,579,0.079
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_190.smt2,0.798553144,0.059422881,8438,1497,1.409
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_191.smt2,0.613244296,0.001490704,1428,3304,0.108
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_192.smt2,0.348914858,0.001514515,3335,4684,0.178
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_193.smt2,0.466332777,0.001490627,511,5565,0.023
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_194.smt2,0.350027824,0.252924017,4760,2106,0.565
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_195.smt2,0.668892599,0.001399026,1174,3643,0.081
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_196.smt2,0.620478575,0.019887128,5646,3947,0.358
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_197.smt2,0.143016138,0.100028472,593,1681,0.088
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_198.smt2,0.81803005,0.029678317,1738,2078,0.209
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_199.smt2,0.560934891,0.000769873,1949,4482,0.109
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_200.smt2,0.514190317,0.000731635,2013,741,0.679
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_201.smt2,0.528102393,0.001919721,2236,3950,0.142
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_202.smt2,0.499165275,0.243925923,6245,1305,1.196
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_203.smt2,0.298831386,0.010984698,6209,8187,0.19
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_204.smt2,0.652198108,0.023856304,9051,3571,0.634
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_205.smt2,0.611018364,0.003688757,4100,4247,0.241
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_206.smt2,0.350027824,0.089655829,3692,1770,0.521
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_207.smt2,0.645520312,0.162130287,6672,1336,1.249
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_208.smt2,0.373956594,0.356543044,5883,1722,0.854
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_209.smt2,0.872008904,0.14717342,11382,1510,1.884
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_210.smt2,0.043405676,0.231048937,320,2306,0.035
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_211.smt2,0.646076795,0.00076893,1455,5026,0.072
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_212.smt2,0.795214246,0.000862699,5286,4514,0.293
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_213.smt2,0.164162493,0.000709785,1457,7629,0.048
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_214.smt2,0.265998887,0.034281688,4067,1316,0.773
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_215.smt2,0.397328881,0.000515304,1463,5510,0.066
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_216.smt2,0.846967168,0.002135666,2742,3212,0.213
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_217.smt2,0.821925431,0.004637834,6676,7316,0.228
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_218.smt2,0.161936561,0.230045852,2650,1620,0.409
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_219.smt2,0.977740679,0.109919,2447,1664,0.368
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_220.smt2,0.634390651,0.033045875,6826,3545,0.481
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_221.smt2,0.591541458,0.044931679,1463,1233,0.297
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_222.smt2,0.440734558,0.065167312,17297,2310,1.872
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_223.smt2,0.268781302,0.012387628,3844,7771,0.124
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_224.smt2,0.028937117,0.014293394,279,913,0.076
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_225.smt2,0.109070673,0.082206956,377,2201,0.043
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_226.smt2,0.458542014,0.214038444,1439,1193,0.302
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_227.smt2,0.275459098,0.152075056,4057,2413,0.42
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_228.smt2,0.848636617,0.028060506,4265,1938,0.55
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_229.smt2,0.122426266,0.153788277,493,2210,0.056
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_230.smt2,0.423483584,0.023509014,4991,6567,0.19
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_231.smt2,0.796327212,0.001112666,1791,1346,0.333
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_232.smt2,0.659432387,0.330630678,6823,1397,1.221
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_233.smt2,0.209237618,0.207774312,3192,1410,0.566
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_234.smt2,0.429604897,0.017507548,5967,2629,0.567
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_235.smt2,0.341680579,0.001527842,2478,4294,0.144
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_236.smt2,0.14524207,0.005369321,480,53026,0.002
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_237.smt2,0.792431831,0.003112783,5763,5270,0.273
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_238.smt2,0.67835281,0.001547027,2272,2776,0.205
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_239.smt2,0.62493044,0.429068094,8201,1317,1.557
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_240.smt2,0.703394546,0.001532916,1923,2526,0.19
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_241.smt2,0.389538119,0.00940654,5202,3258,0.399
