case,seq,par,par-seq
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond76.smt2,*,5378,10072
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond77.smt2,*,9433,18262
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond78.smt2,*,5704,11525
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond79.smt2,*,5238,9835
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond8.smt2,34,2155,2197
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond80.smt2,*,4510,6928
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond81.smt2,*,8921,15576
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond82.smt2,*,6215,10363
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond83.smt2,*,6011,8249
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond84.smt2,*,6850,10466
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond85.smt2,*,11073,15813
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond86.smt2,*,11379,21646
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond87.smt2,*,9661,20790
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond88.smt2,*,6347,10105
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond89.smt2,*,10976,19720
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond9.smt2,51,4440,4149
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond90.smt2,*,12672,23676
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond91.smt2,*,15158,27184
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond92.smt2,*,9229,15290
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond93.smt2,*,18616,34930
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond94.smt2,*,17627,26506
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond95.smt2,*,15796,30681
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond96.smt2,*,10750,16244
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond97.smt2,*,23199,57194
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond98.smt2,*,21067,38800
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond99.smt2,*,21260,35845
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ004_size4.smt2,131,192,220
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ004_size5.smt2,636,471,786
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ004_size6.smt2,789,611,1197
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ004_size7.smt2,2186,961,1299
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ006_size3.smt2,268,313,672
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ006_size4.smt2,7937,3294,6398
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ006_size5.smt2,71821,16417,28857
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ006_size6.smt2,96698,24880,48885
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ015_size3.smt2,917,369,557
